|time| inM  |  instruction   |reset| outM  |writeM |addre| pc  |DRegiste|
|23  | 11111|1110111010010000|  0  |     -1|   0   |32767| 1000|     -1 |
|23+ | 11111|1110001100000001|  0  |      0|   0   |32767| 1000|      0 |
|24  | 11111|1110001100000001|  0  |      0|   0   |    0|32767|      0 |
|24+ | 11111|1110001100000010|  0  |      0|   0   |    0|32767|      0 |
|25  | 11111|1110001100000010|  0  |      0|   0   |    0|    0|      0 |
|25+ | 11111|1110001100000011|  0  |      0|   0   |    0|    0|      0 |
|26  | 11111|1110001100000011|  0  |      0|   0   |    0|    0|      0 |
|26+ | 11111|1110001100000100|  0  |      0|   0   |    0|    0|      0 |
|27  | 11111|1110001100000100|  0  |      0|   0   |    0|    0|      0 |
|27+ | 11111|1110001100000101|  0  |      0|   0   |    0|    0|      0 |
|28  | 11111|1110001100000101|  0  |      0|   0   |    0|    0|      0 |
|28+ | 11111|1110001100000110|  0  |      0|   0   |    0|    0|      0 |
|29  | 11111|1110001100000110|  0  |      0|   0   |    0|    0|      0 |
|29+ | 11111|1110001100000111|  0  |      0|   0   |    0|    0|      0 |
|30  | 11111|1110001100000111|  0  |      0|   0   |    0|    0|      0 |
|30+ | 11111|1110101010010000|  0  |      0|   0   |    0|    0|      0 |
|31  | 11111|1110101010010000|  0  |      0|   0   |    0|    0|      0 |
|31+ | 11111|1110001100000001|  0  |      0|   0   |    0|    0|      0 |
|32  | 11111|1110001100000001|  0  |      0|   0   |    0|    0|      0 |
|32+ | 11111|1110001100000010|  0  |      0|   0   |    0|    0|      0 |
|33  | 11111|1110001100000010|  0  |      0|   0   |    0|    0|      0 |
|33+ | 11111|1110001100000011|  0  |      0|   0   |    0|    0|      0 |
|34  | 11111|1110001100000011|  0  |      0|   0   |    0|    0|      0 |
|34+ | 11111|1110001100000100|  0  |      0|   0   |    0|    0|      0 |
|35  | 11111|1110001100000100|  0  |      0|   0   |    0|    0|      0 |
|35+ | 11111|1110001100000101|  0  |      0|   0   |    0|    0|      0 |
|36  | 11111|1110001100000101|  0  |      0|   0   |    0|    0|      0 |
|36+ | 11111|1110001100000110|  0  |      0|   0   |    0|    0|      0 |
|37  | 11111|1110001100000110|  0  |      0|   0   |    0|    0|      0 |
|37+ | 11111|1110001100000111|  0  |      0|   0   |    0|    0|      0 |
|38  | 11111|1110001100000111|  0  |      0|   0   |    0|    0|      0 |
|38+ | 11111|1110111111010000|  0  |     -2|   0   |    0|    0|     -2 |
|39  | 11111|1110111111010000|  0  |     -2|   0   |32766|    0|     -2 |
|39+ | 11111|1110001100000001|  0  |      0|   0   |32766|    0|      0 |
|40  | 11111|1110001100000001|  0  |      0|   0   |    0|32766|      0 |
|40+ | 11111|1110001100000010|  0  |      0|   0   |    0|32766|      0 |
|41  | 11111|1110001100000010|  0  |      0|   0   |    0|    0|      0 |
|41+ | 11111|1110001100000011|  0  |      0|   0   |    0|    0|      0 |
|42  | 11111|1110001100000011|  0  |      0|   0   |    0|    0|      0 |
|42+ | 11111|1110001100000100|  0  |      0|   0   |    0|    0|      0 |
|43  | 11111|1110001100000100|  0  |      0|   0   |    0|    0|      0 |
|43+ | 11111|1110001100000101|  0  |      0|   0   |    0|    0|      0 |
|44  | 11111|1110001100000101|  0  |      0|   0   |    0|    0|      0 |
|44+ | 11111|1110001100000110|  0  |      0|   0   |    0|    0|      0 |
|45  | 11111|1110001100000110|  0  |      0|   0   |    0|    0|      0 |
|45+ | 11111|1110001100000111|  0  |      0|   0   |    0|    0|      0 |
|46  | 11111|1110001100000111|  0  |      0|   0   |    0|    0|      0 |
|46+ | 11111|1110001100000111|  1  |      0|   0   |    0|    0|      0 |
|47  | 11111|1110001100000111|  1  |      0|   0   |    0|    0|      0 |
|47+ | 11111|0111111111111111|  0  |      1|   0   |    0|    0|      1 |
|48  | 11111|0111111111111111|  0  |      1|   0   |32767|    1|      1 |
